# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 4 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-4447
# Timestamp: Wed, 05-Jun-2024 22:59:31
Gene ID	Gene Name	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'ca1, ca4 double mutant' .foldChange	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'ca1, ca4 double mutant'.pValue	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'wild type' .foldChange	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'wild type'.pValue	'ca1, ca4 double mutant' vs 'wild type' in '150 ppm carbon dioxide' .foldChange	'ca1, ca4 double mutant' vs 'wild type' in '150 ppm carbon dioxide'.pValue	'ca1, ca4 double mutant' vs 'wild type' in '500 ppm carbon dioxide' .foldChange	'ca1, ca4 double mutant' vs 'wild type' in '500 ppm carbon dioxide'.pValue
AT1G01010	NAC001	0.1	0.999905277372085			0.2	0.999982111190236	0.3	0.862677670844572
AT1G01020	ARV1	-0.2	0.999905277372085	-0.1	0.871951625712489				
AT1G01030	NGA3			0.1	0.963674706360493			-0.1	0.999602131988726
AT1G01040	DCL1	-0.3	0.999905277372085	-0.3	0.597618191022474	-0.1	0.999982111190236	-0.1	0.999602131988726
AT1G01046	MIR838A	-0.2	0.999905277372085	-0.5	0.428949048531075			0.3	0.988187142755231
AT1G01050	PPA1					0.1	0.999982111190236	0.1	0.999602131988726
AT1G01070	AT1G01070	0.3	0.999905277372085	0.3	0.683208091323496			-0.2	0.999602131988726
AT1G01080	AT1G01080			0.2	0.813307291812375	0.1	0.999982111190236	-0.1	0.999602131988726
AT1G01090	PDH-E1 ALPHA			0.1	0.946091030951285	0.1	0.999982111190236		
AT1G01100	RPP1A	0.1	0.999905277372085	0.4	0.545481021859292			-0.3	0.862677670844572
AT1G01110	IQD18			0.1	0.939398604757709				
AT1G01120	KCS1	-0.2	0.999905277372085	-0.2	0.818671979330887			0.1	0.999602131988726
AT1G01130	AT1G01130					-0.1	0.999982111190236	-0.1	0.999602131988726
AT1G01140	CIPK9	0.1	0.999905277372085	-0.2	0.737038523228433			0.3	0.580533554967553
AT1G01150	AT1G01150			0.1	0.967154014117394				
AT1G01160	GIF2	-0.1	0.999905277372085					-0.2	0.999602131988726
AT1G01170	AT1G01170	-0.3	0.999905277372085	-0.2	0.713694565694487			-0.1	0.999602131988726
AT1G01180	AT1G01180	-0.2	0.999905277372085	-0.2	0.82815853115355			0.1	0.999602131988726
AT1G01190	CYP78A8	-0.6	0.718995989911118	-0.3	0.72891401998842	-0.1	0.999982111190236	-0.5	0.357016989282715
AT1G01200	RABA3			0.2	0.811287102281629			-0.4	0.851778183759845
AT1G01210	AT1G01210					-0.1	0.999982111190236	-0.1	0.999602131988726
AT1G01220	FKGP							-0.1	0.999602131988726
AT1G01225	AT1G01225			0.4	0.381139656773921	0.1	0.999982111190236	-0.2	0.999602131988726
AT1G01230	AT1G01230			-0.1	0.951469946914086	0.1	0.999982111190236	0.2	0.999602131988726
AT1G01240	AT1G01240	-0.2	0.999905277372085	-0.3	0.767910369411806				
AT1G01250	ERF023	-0.3	0.999905277372085	-0.2	0.852081083070133	-0.1	0.999982111190236	-0.3	0.999602131988726
AT1G01260	BHLH13	0.1	0.999905277372085					0.1	0.999602131988726
AT1G01290	CNX3	-0.1	0.999905277372085					-0.1	0.999602131988726
AT1G01300	APF2	0.3	0.999905277372085	0.3	0.759071046343527			-0.1	0.999602131988726
AT1G01310	AT1G01310					0.1	0.999982111190236		
AT1G01320	AT1G01320			0.2	0.873250632986119			-0.1	0.999602131988726
AT1G01340	CNGC10	0.5	0.669973934023397	0.1	0.921970532571923			0.4	0.669620584749797
AT1G01350	AT1G01350			0.1	0.91266247560711			-0.1	0.999602131988726
AT1G01360	PYL9	-0.1	0.999905277372085	-0.4	0.419054184903297			0.3	0.933259930134404
AT1G01370	HTR12	-0.1	0.999905277372085	0.3	0.739133139010239			-0.5	0.13623424839112
AT1G01380	ETC1	0.1	0.999905277372085	0.2	0.756077174739617	-0.1	0.999982111190236	-0.3	0.940272361032704
AT1G01420	UGT72B3	0.4	0.999905277372085					0.3	0.714591126823839
AT1G01430	TBL25	-0.2	0.999905277372085	-0.2	0.77579849756879				
AT1G01440	AT1G01440	-0.1	0.999905277372085	-0.2	0.52117553143087			0.1	0.999602131988726
AT1G01448	AT1G01448	-0.2	0.999905277372085	-0.6	0.116902143291518	-0.1	0.999982111190236	0.2	0.975174936436953
AT1G01470	LEA14	-0.5	0.260698570502189	-0.7	0.0324695813822989	-0.2	0.999982111190236		
AT1G01480	ACS2	0.2	0.999905277372085	-0.5	0.460677644540708			0.7	0.206338823214201
AT1G01490	AT1G01490	0.3	0.999905277372085					0.2	0.999602131988726
AT1G01500	AT1G01500	0.1	0.999905277372085	-0.1	0.951543279059434			0.1	0.999602131988726
AT1G01510	AN							-0.1	0.999602131988726
